text,clean text
น้ำรีฟิลล์ผู่ใหญ่,น้ำรีฟิลล์ผู่ใหญ่
01สุกี้หมู/ไก่(h.mu(p),01สุกี้หมู/ไก่(h.mu(p)
เสุกี้หมู/ไก่(h.mu),เสุกี้หมู/ไก่(h.mu)
i เลยร็กค เกล็ว 1589,i เลยร็กค เกล็ว 1589
เซนวรชมุมองฆ่าสง้,เซนวรชมุมองฆ่าสง้
แมเปร้อวหาสงตัำมืา,แมเปร้อวหาสงตัำมืา
ปรชะรสเทสดี์500มา,ปรชะรสเทสดี์500มา
h-staip ! บาท},h-staip ! บาท}
1ganeสะสมบาท30ไภัน,1ganeสะสมบาท30ไภัน
 อาหารและเครื่องดื่ม, อาหารและเครื่องดื่ม
ไมโฉ,ไมโฉ
เมทม่า,เมทม่า
ไมโฉแท่ง,ไมโฉแท่ง
hla เก๊ร์จเขจิ d3  1,hla เก๊ร์จเขจิ d3  1
โำเก็ฬ็ตเมจ๊ 01  13,โำเก็ฬ็ตเมจ๊ 01  13
กัมมันิมม์ทสไมล์เอปเ,กัมมันิมม์ทสไมล์เอปเ
mi- stanp (บาท),mi- stanp (บาท)
แม.ปกํเวข์ทาเก่น 1,แม.ปกํเวข์ทาเก่น 1
ต่ำเว่งอุนึด,ต่ำเว่งอุนึด
หยากแก๊งเณท์มไอย์,หยากแก๊งเณท์มไอย์
หยากฝกังเนท์แไอซ์,หยากฝกังเนท์แไอซ์
m-stap  บาฬ),m-stap  บาฬ)
 nni aog  sour frean & onion flavor, nni aog  sour frean & onion flavor
al1 berry bang,al1 berry bang
หอมกัวใหญ่ nn. ละ,หอมกัวใหญ่ nn. ละ
ซีมี สันดอสไลซ์ กก.ล,ซีมี สันดอสไลซ์ กก.ล
คิวมีมายองเนส 310แล_,คิวมีมายองเนส 310แล_
ฝาร์มฝริตมันฝรัง,ฝาร์มฝริตมันฝรัง
7,7
เปลี่ยนแปลงราดา,เปลี่ยนแปลงราดา
 afii ไส้กรอกไก่รมดวัน, afii ไส้กรอกไก่รมดวัน
ทอดมันหมฺ กก. ละ,ทอดมันหมฺ กก. ละ
ชุดรวม,ชุดรวม
ไก่ทอดเกาหลี และซอส,ไก่ทอดเกาหลี และซอส
ชาวครีมและหัวหอม(เฝ็ด),ชาวครีมและหัวหอม(เฝ็ด)
แลกชื่อน้าอัดลม10oz. เมือชื่อ,แลกชื่อน้าอัดลม10oz. เมือชื่อ
ชด,ชด
ไก่ทอด(เลือกเครื่องดิ้ม: เน้ำ,ไก่ทอด(เลือกเครื่องดิ้ม: เน้ำ
ไา,ไา
อัดลม),อัดลม)
ข้าวไก่ทอดพริกกระเฟียมไข,ข้าวไก่ทอดพริกกระเฟียมไข
ดองชิอิ๋ว(เลือกเครื่องดิม: น้า,ดองชิอิ๋ว(เลือกเครื่องดิม: น้า
อัดลม),อัดลม)
06.,06.
.ไก่ทอดดักกังจองรสหวาน,.ไก่ทอดดักกังจองรสหวาน
1(`():|,1(`():|
ชาวครีมเบคอนกรอบ(size $),ชาวครีมเบคอนกรอบ(size $)
li ไข่ไก่ขนาดกลาง   (ii,li ไข่ไก่ขนาดกลาง   (ii
ซีมีเนื้อไก่ชั่นชิ้น,ซีมีเนื้อไก่ชั่นชิ้น
ยำยำจัม,ยำยำจัม
โบ้ตมุสัน60กk,โบ้ตมุสัน60กk
โชกุบุสซีสีเขียว100ม,โชกุบุสซีสีเขียว100ม
แขนทีนแซมฆเนเจอร์70,แขนทีนแซมฆเนเจอร์70
โกกิแข้ง 15oก.,โกกิแข้ง 15oก.
หอยหลอดน้าปลาขวดเมท7,หอยหลอดน้าปลาขวดเมท7
องุ่นน้ามันถัวเหลือ,องุ่นน้ามันถัวเหลือ
l,l
",จลลี่เ",",จลลี่เ"
เบลลี่แเฮร์รี่2,เบลลี่แเฮร์รี่2
2 cole($),2 cole($)
ชาดำมะนาว lemon black tea,ชาดำมะนาว lemon black tea
b1 โฟร์ซีซั่นส์ สปริงแท้ original 4 seasons spring,b1 โฟร์ซีซั่นส์ สปริงแท้ original 4 seasons spring
1. ทงคตฝึราเมน(_),1. ทงคตฝึราเมน(_)
 ทงคตสิโชยฺราแมน, ทงคตสิโชยฺราแมน
178.00,178.00
(l),(l)
3. เกี้อวชา(กคา,3. เกี้อวชา(กคา
 ปกดิ), ปกดิ)
4. ฺชาจ็น refill (ร้อน),4. ฺชาจ็น refill (ร้อน)
5. ฺชาเขยา refill,5. ฺชาเขยา refill
(ร้อน),(ร้อน)
ชาไทยนม(ราคา,ชาไทยนม(ราคา
39.00,39.00
 ปกติ), ปกติ)
 coke, coke
masala tea,masala tea
black ice tea,black ice tea
sweet lassi,sweet lassi
butter chicken,butter chicken
mutton masala half,mutton masala half
 garlic naan, garlic naan
butter naan,butter naan
cheese naan,cheese naan
desi chicken biryani,desi chicken biryani
mutton seekh kabab,mutton seekh kabab
เฟตตูเส้นสดเบคอนกรอบ,เฟตตูเส้นสดเบคอนกรอบ
เฟตต์เสินสดคลุกซิล,เฟตต์เสินสดคลุกซิล
water,water
.,.
..น,..น
..,..
ก,ก
ตา.,ตา.
.า,.า
สะ,สะ
..,..
ตาบ,ตาบ
..,..
กa,กa
ก.,ก.
บ,บ
ed,ed
ส,ส
.าเ,.าเ
.,.
za,za
รอม,รอม
สาะ,สาะ
aร,aร
อี,อี
.,.
aร,aร
สา4,สา4
7n,7n
าี,าี
สาา;,สาา;
สา,สา
 coffee, coffee
1. iced daisy,1. iced daisy
(es ven) (ภาคาปกติ),(es ven) (ภาคาปกติ)
 เมล็ดกาแฟ: dark, เมล็ดกาแฟ: dark
25%,25%
ความหวาน:,ความหวาน:
2. iced cocoa,2. iced cocoa
 signature (ราคาปกติ), signature (ราคาปกติ)
ความหวาน: 100%,ความหวาน: 100%
3. white chocolate,3. white chocolate
 ke, ke
ชานมคามุต้นดารับ,ชานมคามุต้นดารับ
(กลาง),(กลาง)
m,m
50%  (2 p.),50%  (2 p.)
body,body
shaper,shaper
 shorts, shorts
180090660,180090660
sushl,sushl
sob,sob
sush1,sush1
l29,l29
d1sh1,d1sh1
ถ. มุงทแทาม(]),ถ. มุงทแทาม(])
โอลิริโกาง เก๊แไมน,โอลิริโกาง เก๊แไมน
โฉก 300  ม.,โฉก 300  ม.
แทก์ตับเม็กลทก๊ฬ,แทก์ตับเม็กลทก๊ฬ
รู,รู
แอง์ก็อคาสหมึกยาง,แอง์ก็อคาสหมึกยาง
ศมุค อุกฝุน  ezytast,ศมุค อุกฝุน  ezytast
ขำวกะ เทราไก่+ไข่ด,ขำวกะ เทราไก่+ไข่ด
สขำวปอาราตพรึก,สขำวปอาราตพรึก
น้ำต่มน้่ำทิหย์,น้ำต่มน้่ำทิหย์
550,550
ม.,ม.
h- stanp{ บาท},h- stanp{ บาท}
iganen: สมบาท3งวัน,iganen: สมบาท3งวัน
iganeซืaaธม  300,iganeซืaaธม  300
มiท,มiท
เมกำแแก่งๆหาม่ำ,เมกำแแก่งๆหาม่ำ
เพaร์เกอร์คัม,เพaร์เกอร์คัม
น่ำลั่มเห็ถวไaย์ 750,น่ำลั่มเห็ถวไaย์ 750
ศมากฝรั่งเงแท่แสแป,ศมากฝรั่งเงแท่แสแป
ไม่ร้บถุง,ไม่ร้บถุง
ไม่รับทลอง/้อน/ส้ว,ไม่รับทลอง/้อน/ส้ว
หองน่า alib,หองน่า alib
 breast, breast
ข้าวเป็ดย่าง,ข้าวเป็ดย่าง
 ix thigh, ix thigh
ix,ix
fat,fat
ข้าวหมูแดง,ข้าวหมูแดง
ชำวผังกระเทียมม้ำพรัก,ชำวผังกระเทียมม้ำพรัก
iina,iina
ขบผพทรรเทียา,ขบผพทรรเทียา
ข้าวเปล่า,ข้าวเปล่า
สันคอหมูส!าค,สันคอหมูส!าค
ชุดสุกลัน{ฟรีชศยก),ชุดสุกลัน{ฟรีชศยก)
แปปซี่ใหญ่ i.45ท,แปปซี่ใหญ่ i.45ท
นาตมเลีก,นาตมเลีก
มาเข่4 (ม),มาเข่4 (ม)
ชำวใช่เจ๋ชวกุ้ง,ชำวใช่เจ๋ชวกุ้ง
ชาวกะ เพราหมุ,ชาวกะ เพราหมุ
ชำวปราผังพรึกสง,ชำวปราผังพรึกสง
โออิกโกซต  เก้น,โออิกโกซต  เก้น
โลอิชโกสต์วาโหฉ:,โลอิชโกสต์วาโหฉ:
เป็ฟซ้ 330),เป็ฟซ้ 330)
มหํ,มหํ
หามุชกีแจนึำฬาง(,หามุชกีแจนึำฬาง(
ฝสวีเพ๊กซ์ยีอุชัสฟท์สต,ฝสวีเพ๊กซ์ยีอุชัสฟท์สต
ชแมทสงกรอหใงโมท,ชแมทสงกรอหใงโมท
เงj็เมกซ์รสโแร่โอเ,เงj็เมกซ์รสโแร่โอเ
แตุกก์จขเบ็ลบัลแก๊งไ,แตุกก์จขเบ็ลบัลแก๊งไ
กอำธม่าำว้ากรอบรสบ,กอำธม่าำว้ากรอบรสบ
อมํท่,อมํท่
!.,!.
บลร์รรวมผักม,บลร์รรวมผักม
โหวอลนม์เวีธเมนตีห,โหวอลนม์เวีธเมนตีห
